timestamp,open,high,low,close,volume,open_smoothed,high_smoothed,low_smoothed,close_smoothed,volume_smoothed
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,,,,,
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,,,,,
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,,,,,
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,,,,,
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,43681.274,44930.153999999995,42428.576,44053.58,53925.714796
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,44053.582,44936.218,42671.832,44011.334,52057.867278000005
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,44011.335999999996,44656.41,42556.582,43807.75600000001,43633.356116
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,43807.756,45006.208,43041.582,44628.918,41957.360948
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,44628.918,45654.691999999995,43468.562,45020.698,46335.281513999995
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,45020.698,46322.386,43838.634000000005,45522.474,54702.513266
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,45522.474,47273.398,44280.436,45996.64200000001,68629.56689799999
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,45996.642,47680.386,43866.018,45767.384,81290.384152
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,45767.388,46881.988,43718.242,44946.774,73951.163902
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,44946.778000000006,45903.388,43112.507999999994,44071.244,65611.312456
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,44071.248,45044.288,42596.046,43242.666,55683.008656
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,43242.668,43965.994,41884.834,42602.424,47198.091914000004
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,42602.424,43302.488,42024.972,42601.098,36585.747276
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,42601.094,43237.088,41674.404,42297.0,38143.55563
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,42296.998,43060.659999999996,41386.404,42282.335999999996,42166.42296
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,42282.334,42755.085999999996,41334.054,42119.324,37297.24334
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,42119.324,42415.762,41224.25,41807.8,30634.126764000004
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,41807.8,42114.092,40670.428,41166.184,35066.12381
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,41166.186,41563.44,40244.772,40880.204000000005,37875.947230000005
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,40880.202,41235.06800000001,40085.61,40565.373999999996,36066.163834
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,40565.373999999996,40920.60400000001,39704.35,40218.384,39085.788554
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,40218.382,40993.69,39368.658,40267.02,46216.749404
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667,40267.02,41095.759999999995,39761.21000000001,40777.542,38376.392916
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838,40777.542,41628.948000000004,40374.371999999996,41204.234,32244.065889999998
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,41204.234000000004,42184.547999999995,40838.509999999995,41847.797999999995,30693.848582
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,41847.797999999995,42900.971999999994,41465.308,42443.8,32013.273968
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,42443.8,43200.63,41956.172,42595.098,30510.507892
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,42595.098,43417.656,42054.159999999996,42787.56,34311.833886
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,42787.562,43546.719999999994,42239.35599999999,43021.348,34787.26304599999
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998,43021.35,43556.121999999996,42454.37999999999,42963.026,30885.396627999995
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404,42963.028,43403.458,42361.981999999996,42891.382,26774.926344
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905,42891.384,43368.388,42358.234,42917.121999999996,24694.250777999998
